fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230728 221351	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	836	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.152652965560285	0.272977966276946	511	43289	12466	69120740.6296852	53
20230728 222221	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1347	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.139057577213885	0.248545282518604	478	43497	12226	68062449.7751125	54
20230728 223302	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1737	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.14543918454115	0.259046354232816	485	43280	12269	67813629.6851574	55
20230728 224155	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1309	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.163387349955543	0.287586190733491	537	42802	10132	66860551.7241379	56
20230728 224734	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	745	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.163236837429032	0.249607759883516	448	43142	12802	68666263.868066	57
20230728 225555	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1271	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.163519302075323	0.259140700062158	455	42970	10839	68563419.7901049	58
20230728 230157	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	820	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.1624066099197	0.259326598245797	449	42950	13254	68430743.6281859	59
20230728 230337	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0958657764208709	0.0451266241816782	283	45494	10638	64567199.4002998	60
20230728 231256	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	935	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.177694970633814	0.542060134944592	803	40864	12159	68684919.0404798	61
20230728 231840	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	378	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.177622452750657	0.534894414547837	797	40865	10422	69791211.3943028	62
20230728 232354	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	913	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.177532693097836	0.612160318233808	946	40896	12912	67311856.071964	63
20230728 233215	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	853	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.17425456010059	0.442339772158207	581	35230	13290	67208020.9895052	64
20230728 233956	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	639	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.180357801771727	0.484695778824718	577	42145	11476	68753709.1454273	65
20230728 234547	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	455	1	1	1	FALSE	1	
